Formula,Sites,Energy above Hull,Formation Energy,Predicted Stable,Volume,Density,Band Gap,Bulk Modulus Voigt,Bulk Modulus Reuss,Bulk Modulus VRH,Shear Modulus Voigt,Shear Modulus Reuss,Shear Modulus VRH
Ac,1,0.0216390625,0.0216390625,False,46.205987384126566,8.157868481081163,0.0,23.574,23.574,23.574,14.133,12.319,13.226
Ac,3,0.015585797500008,0.015585797500004,False,136.02668597010646,8.313273945401516,0.0,,,,,,
Ac,3,0.011821722500002,0.011821722500002,False,138.84105617575773,8.144760170385736,0.0,,,,,,
Ac,4,0.0,0.0,True,184.54540076862065,8.17018178829182,0.0,24.652,24.645,24.648,17.367,17.076,17.221
Ag,2,0.007668675000001,0.007668675000001,False,34.77213082803506,10.302466709886351,0.0,90.122,90.122,90.122,36.111,31.006,33.559
Ag,1,0.002126714999999,0.002126714999999,False,17.28523120082949,10.362566636379526,0.0,87.692,87.692,87.692,14.24,12.179,13.21
Ag,1,0.034337163333333,0.034337163333333,False,18.153849863758666,9.86674239833866,0.0,,,,,,
Ag,4,0.0,0.0,True,69.45695019121693,10.315417515494216,0.0,88.449,88.448,88.449,35.342,28.831,32.087
Ag,3,0.010381675000001,0.010381675000004,False,54.15478637716398,9.922633184978451,0.0,,,,,,
Al,4,0.0104807275,0.0104807275,False,63.58168668601001,2.818666903640435,0.0,,,,,,
Al,4,0.302125532499999,0.302125532499999,False,94.04193239433091,1.905698781135378,0.0,,,,,,
Al,100,0.0957236282,0.095723628199999,False,1768.8252505357063,2.532974864040623,0.0,,,,,,
Al,100,0.1143086865,0.114308686499999,False,1791.9988140970795,2.500219231866401,0.0,,,,,,
Al,100,0.0947504108,0.094750410799999,False,1756.6112751564451,2.550587009119748,0.0,,,,,,
Al,100,0.1020815508,0.102081550799999,False,1756.5750181076785,2.550639655181896,0.0,,,,,,
Al,100,0.1075495411,0.107549541099999,False,1766.7561326742637,2.535941330909958,0.0,,,,,,
Al,1,0.0,0.0,True,16.471717630914863,2.720050209019067,0.0,76.871,76.871,76.871,-18.471,-9.501,-13.986
Al,2,0.032078225,0.032078225,False,33.338791331960074,2.687793839839777,0.0,,,,,,
Al,1,0.10340029,0.10340029,False,16.11571598722545,2.780137042647564,0.0,70.361,70.361,70.361,-0.617,97.142,48.263
Ar,1,0.0,0.0,True,38.56579000820011,1.720053306789052,8.5132,0.098,0.098,0.098,0.293,0.24,0.266
Ar,2,0.003444954999999,0.003444954999999,False,91.16311137140956,1.455308263060024,8.489799999999999,,,,,,
